             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          28093635     gpgpu wdgrlv4_  zuhuang  R 1-22:20:35      1 spartan-gpgpu030
          28093633     gpgpu wdgrlv3_  zuhuang  R 1-22:21:08      1 spartan-gpgpu030
          28093627     gpgpu wdgrlv7_  zuhuang  R 1-22:22:08      1 spartan-gpgpu023
        28139347_1     gpgpu multi_hf maneesha  R      18:13      1 spartan-gpgpu028
        28139355_0     gpgpu multi_hf maneesha  R      26:48      1 spartan-gpgpu050
          28142338     gpgpu 500_zoo_  xingjun  R      42:20      1 spartan-gpgpu005
        28139349_1     gpgpu multi_hf maneesha  R      15:12      1 spartan-gpgpu028
        28139318_4     gpgpu multi_hf maneesha  R      38:49      1 spartan-gpgpu029
          28142445     gpgpu 200_zoo_  xingjun  R      41:20      1 spartan-gpgpu053
          28142323     gpgpu 200_zoo_  xingjun  R      53:53      1 spartan-gpgpu033
          28142116     gpgpu      zoo  xingjun  R    1:08:48      1 spartan-gpgpu004
        28139318_3     gpgpu multi_hf maneesha  R      41:20      1 spartan-gpgpu005
        28139353_0     gpgpu multi_hf maneesha  R      45:51      1 spartan-gpgpu033
        28139354_0     gpgpu multi_hf maneesha  R      45:51      1 spartan-gpgpu024
        28139351_0     gpgpu multi_hf maneesha  R      48:22      1 spartan-gpgpu034
        28139350_0     gpgpu multi_hf maneesha  R      53:53      1 spartan-gpgpu039
          28142304     gpgpu 500_zoo_  xingjun  R    1:04:27      1 spartan-gpgpu032
          28142114     gpgpu      zoo  xingjun  R    1:15:30      1 spartan-gpgpu062
          28141807     gpgpu      nes  xingjun  R    1:34:04      1 spartan-gpgpu025
          28141765     gpgpu       fd  xingjun  R    1:35:34      1 spartan-gpgpu056
        28139349_0     gpgpu multi_hf maneesha  R    1:06:48      1 spartan-gpgpu004
          28140413     gpgpu   ds2_ls  xingjun  R    2:57:22      1 spartan-gpgpu055
          28140257     gpgpu   ds2_ls  xingjun  R    3:07:48      1 spartan-gpgpu054
          28140251     gpgpu   ds2_ls  xingjun  R    3:08:48      1 spartan-gpgpu049
          28137195     gpgpu v2i.slur  zuhuang  R    5:40:24      1 spartan-gpgpu025
          28136890     gpgpu sys/dash  zuhuang  R    6:00:58      1 spartan-gpgpu048
        28139350_1     gpgpu multi_hf maneesha  R      14:42      1 spartan-gpgpu028
        28139351_1     gpgpu multi_hf maneesha  R      12:42      1 spartan-gpgpu051
          28139110     gpgpu  example haihangw  R    3:51:03      1 spartan-gpgpu029
          28139105     gpgpu  example haihangw  R    3:52:03      1 spartan-gpgpu049
          28135537     gpgpu sys/dash rashindr  R    7:49:18      1 spartan-gpgpu057
        28112254_5     gpgpu  HFModel maneesha  R 1-04:24:00      1 spartan-gpgpu057
        28112254_7     gpgpu  HFModel maneesha  R 1-04:24:00      1 spartan-gpgpu038
        28112254_8     gpgpu  HFModel maneesha  R 1-04:24:00      1 spartan-gpgpu038
        28112254_9     gpgpu  HFModel maneesha  R 1-04:24:00      1 spartan-gpgpu038
        28112254_0     gpgpu  HFModel maneesha  R 1-04:24:18      1 spartan-gpgpu056
        28112254_1     gpgpu  HFModel maneesha  R 1-04:24:18      1 spartan-gpgpu037
        28112254_2     gpgpu  HFModel maneesha  R 1-04:24:18      1 spartan-gpgpu037
        28112254_4     gpgpu  HFModel maneesha  R 1-04:24:18      1 spartan-gpgpu057
          28114740     gpgpu fp_B06_M aljubail  R   20:17:53      2 spartan-gpgpu[008-009]
          28129138     gpgpu B00Re390     wlu2  R   16:06:56      6 spartan-gpgpu[042-046,063]
          28142930     gpgpu fpre250_ aljubail  R       2:08      1 spartan-gpgpu047
          28142897     gpgpu fpre250_ aljubail  R      17:47      1 spartan-gpgpu013
          28094038     gpgpu fp_B00_M aljubail  R 1-21:48:30      1 spartan-gpgpu036
          28095509     gpgpu   h10w10  lzhchan  R 1-20:29:07      1 spartan-gpgpu066
          28143076 interacti     bash    rmmia PD       0:00      1 (Resources)
          28143042 interacti     bash  ichiehh PD       0:00      1 (Resources)
          28142772 interacti fastx_se   zmoore  R      29:18      1 spartan-bm084
          28142450 interacti     bash   asstew  R      50:19      1 spartan-bm084
          28132521 interacti     bash  shiruih  R   11:41:08      1 spartan-bm083
          28142579 interacti     bash imahmood  R      41:25      1 spartan-bm083
          28127255 interacti fastx_se yatoende  R   18:07:19      1 spartan-bm083
          28141885 interacti     bash bcrobson  R    1:29:59      1 spartan-bm084
          28142212 interacti     bash xiaoczha  R    1:09:38      1 spartan-bm084
          28142151 interacti     bash chutches  R    1:14:11      1 spartan-bm084
          28142149 interacti     bash hjohnson  R    1:14:26      1 spartan-bm084
          28142439 interacti     bash   qirunz  R      52:32      1 spartan-bm083
          28142491 interacti     bash   ruyix1  R      48:33      1 spartan-bm083
          28142396 interacti     bash  ruixinc  R      55:35      1 spartan-bm084
          28142720 interacti     bash  fjerera  R      34:06      1 spartan-bm084
          28142990 interacti     bash junlangz  R       6:20      1 spartan-bm084
          28142986 interacti     bash cpaisley  R      12:12      1 spartan-bm084
          28142853 interacti     bash   ishiik  R      20:51      1 spartan-bm084
          28142807 interacti     bash  swastia  R      25:07      1 spartan-bm084
          28142796 interacti     bash ruiqingz  R      25:54      1 spartan-bm083
          28142981 interacti     bash cpattins  R      12:49      1 spartan-bm084
          28142934 interacti     bash dtinsley  R      15:25      1 spartan-bm084
          28142848 interacti     bash     sek4  R      22:12      1 spartan-bm084
          28142978 interacti     bash    qdoan  R      13:22      1 spartan-bm084
          28142729 interacti sys/dash  jpullin  R      32:08      1 spartan-bm084
          28136877 interacti sys/dash   bbowen  R    6:04:20      1 spartan-bm083
          28114854 interacti sys/dash     smue  R 1-01:19:54      1 spartan-bm084
          28141824 interacti sys/dash  stanner  R    1:32:04      1 spartan-bm083
          28116003 interacti fastx_se trevorcs  R 1-00:17:51      1 spartan-bm084
          28136840 interacti fastx_se  linzhit  R    6:05:49      1 spartan-bm083
          28108461 interacti sys/dash alexcasa  R 1-08:30:19      1 spartan-bm083
          28142530 interacti sys/dash   aidfly  R      45:21      1 spartan-bm084
          28112218 interacti sys/dash alexcane  R 1-04:25:48      1 spartan-bm083
          28141542 interacti     bash mohsenka  R    1:53:48      1 spartan-bm083
